site,period,date,stake,point1,point2,distance_cm,axis
CTRL1,start,11/21/2026,1,ground,grad3,126,slant
CTRL1,start,11/22/2026,1,ground,top,186,slant
CTRL1,start,11/23/2026,2,ground,grad5,124,slant
CTRL1,start,11/21/2026,2,ground,top,224.5,slant
CTRL1,start,11/22/2026,3,ground,grad3,126,slant
CTRL1,start,11/23/2026,3,ground,top,186,slant
CC1,start,11/21/2026,1,ground,grad3,119,slant
CC1,start,11/22/2026,1,ground,top,179,slant
CC1,start,11/23/2026,2,ground,grad3,121.5,slant
CC1,start,11/21/2026,2,ground,top,181.5,slant
CC1,start,11/22/2026,3,ground,grad5,112,slant
CC1,start,11/23/2026,3,ground,top,213,slant
CTRL2,start,11/21/2026,1,ground,grad3,123,slant
CTRL2,start,11/22/2026,1,ground,top,183,slant
CTRL2,start,11/23/2026,2,ground,grad5,115,slant
CTRL2,start,11/21/2026,2,ground,top,216,slant
CTRL2,start,11/22/2026,3,ground,grad3,117.5,slant
CTRL2,start,11/23/2026,3,ground,top,177.5,slant
CC2,start,11/21/2026,1,ground,grad5,129,slant
CC2,start,11/22/2026,1,ground,top,229,slant
CC2,start,11/23/2026,2,ground,grad5,121,slant
CC2,start,11/21/2026,2,ground,top,220,slant
CC2,start,11/22/2026,3,ground,grad3,121,slant
CC2,start,11/23/2026,3,ground,top,181,slant
S5-CAM-F1A,start,11/23/2026,1,ground,top,200,slant
S5-CAM-F1A,start,11/23/2026,2,ground,top,198,slant
S5-CAM-F1A,start,11/23/2026,3,ground,top,206,slant
S5-CAM-F1B,start,11/23/2026,1,ground,grad3,140,slant
S5-CAM-F1B,start,11/23/2026,1,ground,top,195.5,slant
S5-CAM-F1B,start,11/23/2026,2,ground,grad5,118,slant
S5-CAM-F1B,start,11/23/2026,2,ground,top,198.5,slant
S5-CAM-F1B,start,11/23/2026,3,ground,grad3,137.5,slant
S5-CAM-F1B,start,11/23/2026,3,ground,top,198,slant
S5-F-WX,start,11/23/2026,1,ground,top,198,slant
S5-F-WX,start,11/23/2026,2,ground,top,199,slant
CTRL1,end,5/13/2026,1,ground,top,187,slant
CTRL1,end,5/13/2026,1,ground,grad2,146,slant
CTRL1,end,5/13/2026,1,ground,top,187,vertical
CTRL1,end,5/13/2026,1,ground,grad2,148,vertical
CTRL1,end,5/13/2026,2,ground,top,223,slant
CTRL1,end,5/13/2026,2,ground,grad4,142,slant
CTRL1,end,5/13/2026,3,ground,top,185,slant
CTRL1,end,5/13/2026,3,ground,grad2,145,slant
CTRL1,end,5/13/2026,3,ground,top,187,vertical
CTRL1,end,5/13/2026,3,ground,grad2,146,vertical
CTRL2,end,5/13/2026,1,ground,top,178,vertical
CTRL2,end,5/13/2026,1,ground,grad2,140,vertical
CTRL2,end,5/13/2026,1,ground,top,183.5,slant
CTRL2,end,5/13/2026,1,ground,grad2,142,slant
CTRL2,end,5/13/2026,2,ground,top,219,vertical
CTRL2,end,5/13/2026,2,ground,grad4,137,vertical
CTRL2,end,5/13/2026,2,ground,top,216,slant
