,camera_id,stake_id,pole_length_cm
0,CC1,1,178.0
1,CC1,2,181.75
2,CC1,3,213.75
3,CC2,1,229.0
4,CC2,2,223.0
5,CC2,3,181.0
6,CTRL1,1,186.5
7,CTRL1,2,223.75
8,CTRL1,3,185.5
9,CTRL2,1,183.25
10,CTRL2,2,216.0
11,CTRL2,3,177.5
12,S5-CAM-F1A,1,199.5
13,S5-CAM-F1A,2,197.5
14,S5-CAM-F1A,3,206.0
15,S5-CAM-F1B,1,197.25
16,S5-CAM-F1B,2,199.0
17,S5-CAM-F1B,3,197.75
18,S5-CAM-F2A,1,198.0
19,S5-CAM-F2A,3,199.0
20,S5-CAM-F2B,3,195.0
21,S5-CAM-F3,1,214.0
22,S5-CAM-F3,3,198.0
23,S5-CAM-F3,4,206.5
24,S5-CAM-F3,5,225.0
25,S5-F-WX,1,194.0
26,S5-F-WX,2,198.0
27,S6-F-WX,1,171.0
28,S6-F-WX,2,175.0
29,S6-F-WX,3,188.5
30,S6-F-WX,4,174.0
31,S6-F-WX,5,179.0
