datetime,distance_m,air_temp_C,RH_pct,soil_temp_C,snow_depth_m,field_distance_m,field_snow_depth_m
2025-02-11 16:00:00,1.6122,-4.137,40.7,,0.15779999999999994,,
2025-02-11 17:00:00,1.5996,-5.079,34.9,,0.1704000000000001,,
2025-02-11 18:00:00,1.5902,-6.01,45.4,,0.17979999999999996,,
2025-02-11 19:00:00,1.5933,-6.77,52.2,,0.17670000000000008,,
2025-02-11 20:00:00,1.587,-6.42,48.5,,0.18300000000000005,,
2025-02-11 21:00:00,1.5902,-6.706,50.9,,0.17979999999999996,,
2025-02-11 22:00:00,1.5965,-6.357,49.8,,0.1735,,
2025-02-11 23:00:00,1.5902,-6.325,48.7,,0.17979999999999996,,
2025-02-12 00:00:00,,-5.916,52.6,,,,
2025-02-12 01:00:00,1.5965,-5.916,51.4,,0.1735,,
2025-02-12 02:00:00,1.5337,-6.01,53.7,,0.23629999999999995,,
2025-02-12 03:00:00,1.5965,-5.76,49.6,,0.1735,,
2025-02-12 04:00:00,1.587,-5.698,48.9,,0.18300000000000005,,
2025-02-12 05:00:00,1.5713,-6.01,48.9,,0.1987000000000001,,
2025-02-12 06:00:00,1.587,-5.948,44.4,,0.18300000000000005,,
2025-02-12 07:00:00,,-6.706,49.0,,,,
2025-02-12 08:00:00,,-6.962,50.0,,,,
2025-02-12 09:00:00,1.5839,-6.674,47.0,,0.18609999999999993,,
2025-02-12 10:00:00,,-5.76,43.1,,,,
2025-02-12 11:00:00,,-5.295,43.5,,,,
2025-02-12 12:00:00,1.5242,-4.257,36.9,,0.24580000000000002,,
2025-02-12 13:00:00,,-3.747,43.2,,,,
2025-02-12 14:00:00,1.5368,-3.035,40.6,,0.23320000000000007,,
2025-02-12 15:00:00,1.5651,-2.742,50.1,,0.20490000000000008,,
2025-02-12 16:00:00,1.5808,-2.771,48.0,,0.18920000000000003,,
2025-02-12 17:00:00,1.587,-3.657,47.0,,0.18300000000000005,,
2025-02-12 18:00:00,1.5619,-4.682,57.9,,0.20809999999999995,,
2025-02-12 19:00:00,,-5.698,52.6,,,,
